Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,Comments,isPopularStream,Stream
0.792,0.462,9,-4.984,0.0815,0.552,0,0.125,0.869,113.776,185808,39607,454,0,11478394
0.573,0.984,10,-3.846,0.0653,0.000608,2.57E-06,0.0356,0.502,104.334,165173,60915,703,0,74229212
0.739,0.821,1,-4.233,0.0852,0.222,9.60E-06,0.311,0.693,171.077,188080,6234555,192424,1,666201533
0.534,0.392,9,-7.636,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533,2102982,74007,1,518524112
0.284,0.637,9,-4.893,0.0486,0.0626,0,0.371,0.197,92.045,220589,70997,2579,0,28318677
0.643,0.891,9,-4.404,0.0322,0.642,0.085,0.119,0.886,95.813,213760,1829,65,0,22723621
0.659,0.865,6,-5.866,0.0257,0.136,0,0.747,0.709,106.085,251787,3873,224,0,8599084
0.877,0.56,7,-3.751,0.0596,0.00721,1.45E-06,0.0839,0.154,119.971,216136,560865,16545,0,104603335
0.747,0.32,4,-15.49,0.0848,0.224,0.89,0.0727,0.103,121.032,115392,139585,3114,0,97270923
0.679,0.645,7,-9.765,0.0442,0.032,0.868,0.152,0.826,125.844,279520,11790,58,0,44971637
0.467,0.432,7,-11.753,0.0283,0.175,0.001,0.226,0.238,142.642,271333,112424,3516,0,63204588
0.66,0.806,2,-8.01,0.0324,0.00332,1.40E-05,0.0986,0.944,122.041,253253,100171,4357,0,21979992
0.441,0.258,7,-11.227,0.0276,0.661,0,0.106,0.172,77.988,214827,139934,5887,0,84174605
0.584,0.586,7,-9.147,0.0572,0.788,0,0.131,0.34,85.027,195507,104502,1827,0,12095810
0.565,0.837,4,-4.607,0.119,0.106,0,0.37,0.775,105.067,156276,60423,1774,0,31316786
0.276,0.572,1,-7.818,0.0377,0.641,0,0.2,0.285,77.986,237467,5730,472,1,169769959
0.661,0.511,10,-9.561,0.304,0.00277,0,0.608,0.4,149.046,167627,29613,510,0,30484383
0.684,0.671,2,-6.424,0.289,0.0119,0,0.0769,0.45,179.987,171253,630849,32362,1,348184786
0.671,0.791,1,-7.352,0.215,0.0454,0.0185,0.0354,0.383,138.032,149565,611,10,0,11471926
0.753,0.777,11,-5.701,0.32,0.0725,0.000714,0.125,0.669,157.148,171453,388334,8183,0,58610527
0.789,0.858,1,-5.542,0.311,0.127,0,0.349,0.775,140.022,219333,2521768,103200,1,1054470731
0.613,0.96,5,-4.343,0.0542,0.265,0,0.24,0.669,159.98,160205,48780,928,0,47922243
0.603,0.376,1,-9.77,0.0288,0.807,0,0.108,0.538,139.995,224573,1090664,37058,1,201949875
0.73,0.684,9,-10.803,0.0351,0.259,1.53E-06,0.111,0.564,139.037,246080,413507,12454,0,79529702
0.722,0.687,0,-5.189,0.0556,0.00949,0.00413,0.0462,0.619,128.013,373627,5124,58,1,519362331
0.287,0.84,6,-3.947,0.0404,0.0551,0.0225,0.21,0.648,202.903,214373,94984,3849,0,22819772
0.627,0.851,0,-9.867,0.0726,0.105,0.0221,0.198,0.491,165.313,236290,92116,3381,0,1218878
0.466,0.55,9,-9.517,0.0437,0.141,0,0.149,0.747,109.53,217987,56715,1806,0,66359005
0.87,0.532,7,-7.101,0.0951,0.127,8.65E-05,0.112,0.358,121.986,198704,7423,322,0,13700682
0.58,0.716,11,-3.928,0.0852,0.293,0,0.129,0.509,111.897,183093,192402,1684,0,43152545
0.528,0.595,0,-10.35,0.281,0.337,0,0.389,0.36,130.396,152547,53772,3364,0,27346234
0.626,0.708,5,-7.097,0.0556,0.442,3.04E-06,0.137,0.883,168.162,185240,61514,47,0,8408498
0.835,0.679,7,-5.329,0.0364,0.583,1.98E-06,0.218,0.85,124.98,162638,2050185,31939,1,786419578
0.575,0.374,8,-2.706,0.0346,0.535,0,0.178,0.563,79.124,196099,1119536,17049,1,184693964
0.808,0.582,11,-6.26,0.338,0.827,0,0.111,0.675,77.471,148817,302536,5791,0,133126327
0.494,0.839,9,-8.79,0.0647,0.0534,0.0706,0.253,0.219,126.329,302400,431095,20947,0,66614165
0.79,0.694,9,-7.726,0.0708,0.145,0.00252,0.281,0.508,103.007,181436,228647,3347,1,375510368
0.324,0.457,2,-8.683,0.0336,0.271,2.65E-05,0.433,0.225,99.902,266640,161547,2225,0,13546386
0.367,0.847,2,-5.351,0.22,0.178,0,0.584,0.429,73.771,282353,6604141,242519,0,20320041
0.256,0.788,6,-5.263,0.0403,0.0298,0,0.707,0.429,80.718,228707,466248,18479,0,62007907
0.536,0.37,5,-9.205,0.0321,0.712,0,0.0686,0.327,79.954,267333,175375,7778,0,14393680
0.623,0.493,5,-7.727,0.0338,0.0632,0,0.104,0.594,81.019,223847,841362,15599,1,328822602
0.713,0.902,9,-3.009,0.0378,0.0493,0,0.0781,0.72,116.909,214733,175706,3101,0,83868833
0.566,0.855,7,-4.016,0.211,0.0372,0.000157,0.181,0.517,172.966,247840,3784491,131656,1,178849188
0.82,0.783,5,-6.146,0.0621,0.0158,0,0.0938,0.653,130.015,166087,4307,331,0,52426625
0.624,0.257,5,-13.341,0.0444,0.93,7.56E-05,0.138,0.681,85.617,183667,78402,5590,0,35866348
0.532,0.0657,0,-19.136,0.0406,0.94,0.00488,0.0946,0.292,128.607,201440,269046,5869,0,88007244
0.741,0.41,6,-10.28,0.319,0.201,0,0.182,0.504,140.988,121263,152787,2490,0,9706635
0.557,0.687,2,-4.721,0.0814,0.551,5.28E-05,0.0975,0.638,105.508,188093,127492,2565,0,45142720
0.513,0.648,1,-6.9,0.101,0.531,0,0.136,0.268,116.542,135385,208033,1793,0,24211182
0.732,0.801,6,-6.009,0.0363,0.0911,0.000727,0.0459,0.275,124.975,187301,1483,37,0,2756270
0.626,0.667,0,-11.817,0.0283,0.209,0.000257,0.0779,0.83,112.776,257631,1973916,52694,1,432110849
0.616,0.525,7,-7.065,0.0258,0.401,0.000484,0.309,0.427,79.976,253773,472950,6261,0,68980616
0.48,0.863,1,-4.914,0.0385,0.0181,0,0.111,0.491,91.972,243053,177669,6006,0,48999602
0.705,0.634,5,-6.083,0.0282,0.0405,3.53E-05,0.349,0.639,98.008,169373,96764,4484,0,91810989
0.868,0.878,1,-3.294,0.038,0.0509,0.00052,0.0857,0.899,112.987,232843,919421,63983,0,69366747
0.566,0.325,10,-8.819,0.0439,0.732,0,0.317,0.511,78.822,202000,41477,905,0,68074120
0.617,0.301,9,-15.393,0.0292,0.776,0,0.0914,0.664,111.527,191733,64719,3309,0,35208891
0.724,0.758,2,-4.94,0.0942,0.37,0,0.261,0.804,90.037,210236,14789,535,0,422030
0.641,0.496,1,-3.41,0.312,0.664,0,0.086,0.533,129.677,141440,32623,17476,0,7234040
0.698,0.765,5,-4.562,0.291,0.169,0,0.39,0.589,84.94,216000,671734,15004,0,76374379
0.7,0.758,10,-3.012,0.342,0.0444,1.30E-05,0.0401,0.889,78.693,249467,3334710,60552,1,541728561
0.75,0.522,9,-7.018,0.0293,0.282,0,0.0743,0.601,110.427,321556,1503215,22214,1,428732694
0.863,0.402,6,-10.403,0.338,0.561,0,0.0681,0.561,103.945,154781,12695,348,0,3574337
0.584,0.866,1,-5.55,0.0622,0.00826,2.43E-06,0.587,0.131,123.951,148005,3533,80,0,875292
0.737,0.367,7,-8.323,0.0311,0.516,4.46E-05,0.108,0.748,117.957,177919,28859,511,0,12534913
0.621,0.402,0,-9.626,0.0292,0.451,5.58E-05,0.111,0.218,120.027,276355,110182,2712,0,46555810
0.597,0.892,5,-4.484,0.0297,0.0716,0.195,0.0797,0.939,126.066,202680,2386,104,0,18872380
0.486,0.525,6,-7.31,0.0341,0.172,0,0.134,0.291,156.207,204640,83668,2923,0,45956641
0.453,0.411,1,-7.539,0.0276,0.235,0.00021,0.101,0.28,75.752,228653,37992,912,0,72580045
0.735,0.683,7,-8.672,0.0433,0.363,0.0267,0.0327,0.751,91.006,219453,384,14,0,4479366
0.595,0.574,2,-7.411,0.11,0.789,9.53E-05,0.209,0.825,94.904,445080,90657,1915,0,96134108
0.559,0.157,1,-10.132,0.0414,0.887,0,0.107,0.348,130.877,190430,158904,2383,0,92858966
0.231,0.13,5,-14.681,0.031,0.85,1.14E-06,0.0832,0.162,87.418,222120,574929,0,1,233638628
0.494,0.672,3,-4.877,0.0405,0.0273,0,0.105,0.557,156.208,277027,1199250,46201,1,174115231
0.797,0.791,10,-6.281,0.33,0.119,0,0.113,0.828,138.026,203560,439271,8766,0,87252059
0.388,0.579,5,-6.983,0.0286,0.472,0.00055,0.219,0.381,70.662,295067,111553,8458,0,64416732
0.331,0.00922,10,-30.88,0.041,0.993,0.953,0.102,0.0713,132.883,242587,2230373,121178,0,14515143
0.68,0.826,0,-5.487,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,215627,7481108,277981,1,1368121562
0.63,0.848,2,-6.242,0.0409,0.0162,0.0182,0.271,0.776,100.004,284933,108476,5357,0,27736457
0.558,0.869,10,-5.068,0.0508,0.0067,0,0.141,0.547,155.978,262933,10792,20,0,10438182
0.704,0.414,9,-8.98,0.0444,0.858,0,0.0992,0.244,121.997,204590,19703,776,0,1681543
0.827,0.731,4,-5.524,0.088,0.13,0,0.418,0.607,118.992,172833,1378713,70078,1,161512006
0.486,0.734,1,-6.356,0.0423,0.658,0,0.965,0.639,145.842,203895,787673,10062,0,94030868
0.507,0.349,10,-5.736,0.0325,0.302,0,0.208,0.461,123.406,250368,34050,377,0,12250374
0.507,0.929,0,-3.246,0.0756,4.37E-05,1.52E-05,0.397,0.429,101.05,220066,17774,477,0,10421730
0.723,0.664,7,-4.77,0.034,0.594,1.35E-06,0.31,0.483,94.962,207147,55882,1752,0,32543303
0.601,0.836,1,-3.42,0.0342,0.0974,0,0.106,0.338,127.934,254747,10181,414,0,23748265
0.479,0.686,1,-8.257,0.338,0.0335,0,0.158,0.468,182.515,272893,843,64,0,791447
0.757,0.743,3,-7.146,0.0414,0.245,2.14E-05,0.0842,0.645,140.03,166929,9819,68,0,5711512
0.829,0.635,0,-4.489,0.119,0.145,1.10E-05,0.0888,0.598,90.007,189153,1661397,21421,0,13149791
0.899,0.691,0,-7.554,0.0497,0.18,0.000451,0.135,0.865,107.951,125302,180289,6563,1,219724644
0.554,0.868,11,-5.386,0.116,0.544,0,0.142,0.402,92.907,284709,1835699,69078,0,136820286
0.526,0.927,4,-2.552,0.236,0.0635,0,0.78,0.677,89.97,244250,44992,3428,0,1711912
0.688,0.268,11,-16.41,0.951,0.164,0,0.137,0.425,73.074,180130,116,12,0,10710
0.698,0.546,0,-7.234,0.0559,0.425,0.00314,0.16,0.335,145.044,181080,44930,487,0,94219850
0.279,0.454,6,-4.393,0.0339,0.592,0,0.124,0.212,178.596,229600,381873,4224,0,42912554
0.893,0.665,8,-5.522,0.176,0.239,7.83E-06,0.0793,0.657,100.017,252542,278177,5998,0,42626750
0.867,0.68,1,-5.508,0.229,0.0679,0,0.0935,0.591,101.652,295227,1789,77,0,11057694
0.439,0.879,8,-6.164,0.0613,0.000454,4.12E-06,0.115,0.455,159.982,318173,1261,137,0,477112
0.7,0.942,5,-7.355,0.237,0.0469,2.93E-05,0.0666,0.766,171.37,216941,235541,13561,0,32831182
0.688,0.724,6,-3.895,0.0479,0.00108,0,0.319,0.763,123.072,135661,24665,781,0,13436144
0.603,0.551,10,-7.65,0.0668,0.000964,0.654,0.394,0.14,122.207,146861,3646,250,0,1666927
0.768,0.572,1,-8.533,0.29,0.62,2.25E-06,0.126,0.469,89.057,204427,1718,158,0,848497
0.715,0.739,6,-3.779,0.041,0.578,0,0.0887,0.963,101.611,140984,316210,2820,0,98166562
0.808,0.588,8,-4.916,0.0581,0.0426,0.000685,0.136,0.111,124.994,179488,16474,379,0,2194472
0.445,0.747,10,-4.275,0.0383,0.381,0,0.128,0.395,75.821,243573,54428,1838,0,18345332
0.735,0.501,2,-12.806,0.0348,0.286,0.000101,0.0855,0.817,107.938,398467,424760,17558,0,12637949
0.309,0.783,10,-4.154,0.0405,0.142,1.11E-06,0.118,0.372,175.788,202067,222790,8361,0,83360155
0.601,0.775,0,-4.612,0.0473,0.269,0,0.0883,0.483,119.964,190295,674495,15371,1,309151426
0.545,0.479,11,-8.869,0.0272,0.705,0.000224,0.0694,0.306,71.972,326547,1015,26,0,2847885
0.434,0.897,0,-4.918,0.0488,0.0103,0,0.612,0.684,148.726,167067,1581923,60906,1,798081462
0.553,0.506,4,-13.271,0.046,0.144,3.78E-06,0.438,0.51,143.278,226213,10951,531,0,79739086
0.657,0.44,2,-8.795,0.0742,0.202,1.49E-05,0.329,0.373,74.963,188709,4983,321,0,3846082
0.572,0.839,4,-5.083,0.0377,0.013,0.00976,0.522,0.465,143.969,196784,92025,1401,1,310600644
0.586,0.855,6,-6.418,0.0446,0.000179,0.0148,0.112,0.479,122.044,181967,19555,532,0,22746724
0.514,0.71,2,-11.731,0.0316,0.017,0.007,0.29,0.861,161.108,231573,151584,8016,0,25875759
0.793,0.698,11,-3.626,0.104,0.163,0.145,0.0745,0.339,130.017,285571,52706,173,0,131414960
0.858,0.735,1,-4.854,0.329,0.0344,1.41E-06,0.468,0.364,108.019,145813,690326,11750,0,54794800
0.721,0.88,9,-3.896,0.0454,0.191,0,0.0769,0.655,110.021,202907,726726,24204,1,196974484
0.225,0.308,7,-14.874,0.0345,0.851,0.854,0.074,0.0361,107.666,394973,4535,117,0,35946551
0.716,0.737,6,-5.831,0.0578,0.115,0,0.0922,0.584,131.947,179864,77884,1400,0,34095370
0.398,0.956,2,-4.429,0.329,0.00935,0.0038,0.142,0.269,106.581,178310,33037,342,0,48546790
0.534,0.803,10,-9.129,0.0743,0.741,6.07E-05,0.307,0.969,167.983,161560,703980,11654,1,360821701
0.617,0.588,4,-5.442,0.0302,0.642,0,0.39,0.257,130.971,226481,272433,5093,0,20258059
0.781,0.356,4,-8.964,0.462,0.755,0,0.109,0.381,83.89,198656,794482,12019,0,47604941
0.421,0.809,6,-7.385,0.051,0.021,0,0.371,0.955,167.418,167467,952,4,0,1301443
0.715,0.791,10,-6.63,0.0414,0.0368,0,0.0694,0.879,116.043,201053,740856,43300,1,140211873
0.23,0.357,10,-6.596,0.0315,0.63,0,0.0886,0.174,114.229,241067,656663,26290,0,89339029
0.518,0.938,8,-5.964,0.0416,0.021,0.000305,0.288,0.71,139.138,227800,124710,6815,0,126323886
0.7,0.618,11,-4.593,0.0261,0.232,2.65E-05,0.072,0.937,106.061,286973,139051,5997,0,31664188
0.693,0.862,10,-3.151,0.0474,0.612,0,0.11,0.846,135.013,158222,1329,47,0,2392699
0.816,0.71,7,-3.728,0.0398,0.165,0,0.292,0.784,93.02,208631,779547,11445,1,279795664
0.243,0.947,11,-3.388,0.102,0.000417,3.41E-05,0.133,0.338,147.586,222453,33380,4201,0,74608129
0.585,0.662,5,-4.235,0.351,0.385,0,0.0966,0.533,169.239,225882,863004,23346,0,90879208
0.63,0.571,8,-4.807,0.035,0.441,0,0.143,0.68,95.04,169770,1554,33,0,36056966
0.708,0.766,11,-4.485,0.0778,0.061,0,0.104,0.462,93.777,167980,23704,688,0,7849981
0.691,0.812,0,-7.772,0.0558,0.0433,1.16E-06,0.299,0.685,127.568,220627,178312,6587,1,303375137
