Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,Comments,isPopularViews,Views
0.523,0.557,7,-7.799,0.0293,0.813,0.000581,0.0958,0.196,111.766,374205,508928,8241,0,53678586
0.76,0.689,2,-5.967,0.102,0.56,0,0.0662,0.699,149.993,273373,133486,3278,0,35309110
0.377,0.681,7,-8.039,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,239717,9748,0,26111453
0.786,0.842,4,-5.115,0.0707,0.00305,3.54E-06,0.473,0.685,97.577,221227,724817,23419,1,169776982
0.174,0.742,8,-5.93,0.0485,0.00181,0.281,0.198,0.36,163.378,223747,86558,1578,0,2011693
0.834,0.699,5,-3.222,0.178,0.111,0,0.131,0.809,94.086,272533,4899065,180386,1,888076529
0.691,0.658,0,-6.496,0.0359,0.398,4.58E-05,0.112,0.617,97.68,300160,253377,3310,0,76498102
0.547,0.596,8,-7.744,0.192,0.342,0.335,0.148,0.368,159.985,208493,347765,8458,0,13446303
0.609,0.759,10,-9.422,0.0336,0.245,2.84E-05,0.207,0.802,141.126,356942,5212,88,0,200566
0.469,0.278,3,-16.311,0.028,0.248,0.000126,0.133,0.331,169.735,231840,14869,801,0,1715425
0.786,0.727,9,-5.028,0.051,0.0818,0,0.0824,0.697,93.97,191239,2543872,52677,1,205262428
0.671,0.927,10,-3.868,0.0564,0.0266,0.000209,0.0951,0.946,163.945,243253,96046,877,0,20534126
0.699,0.585,6,-8.225,0.0796,0.432,8.78E-06,0.0954,0.449,93.933,291148,119252,1655,0,18185574
0.74,0.709,6,-5.573,0.0674,0.0536,0,0.11,0.69,121.998,168728,1895491,34204,1,323564166
0.696,0.552,8,-13.426,0.0822,0.0574,0,0.0916,0.463,98.928,249191,49433,3369,0,10299170
0.503,0.794,0,-4.228,0.0336,0.218,0,0.265,0.446,145.886,253159,51604,2447,0,5431084
0.69,0.762,5,-6.738,0.0329,0.756,0,0.319,0.972,141.034,154761,330183,6041,0,27824970
0.757,0.418,7,-8.278,0.0492,0.59,4.60E-06,0.198,0.729,79.338,134881,40329,1142,0,10396503
0.419,0.677,4,-6.183,0.0343,0.00101,9.99E-05,0.211,0.684,127.678,303587,83525,3852,0,10605802
0.607,0.678,8,-7.045,0.0335,0.00527,0,0.332,0.433,115.968,244798,26316,205,0,1049079
0.577,0.0656,10,-27.962,0.0377,0.951,0.95,0.105,0.181,120.118,59507,589,12,0,200658
0.628,0.676,6,-4.227,0.0424,0.393,6.94E-05,0.0978,0.723,78.996,215687,188314,2790,0,10257267
0.388,0.449,3,-12.584,0.088,0.443,0,0.265,0.692,179.651,162707,128297,4446,0,15762625
0.644,0.587,7,-6.736,0.353,0.473,0,0.0759,0.68,173.972,161765,204044,6370,0,10570028
0.492,0.646,10,-5.334,0.0303,0.00136,2.21E-05,0.121,0.214,112.228,253933,77213,1882,0,11399364
0.915,0.686,9,-6.094,0.092,0.0324,0,0.14,0.25,133.953,218414,1128,90,0,173018
0.579,0.274,0,-12.956,0.0288,0.828,0.0449,0.228,0.106,110.124,323626,355948,6413,0,9415914
0.744,0.415,6,-8.417,0.161,0.449,0,0.111,0.692,145.988,242833,89614,2117,0,15383135
0.69,0.803,7,-9.084,0.0915,0.577,6.49E-05,0.117,0.204,161.489,178224,45729,548,0,2517575
0.444,0.866,7,-6.217,0.111,0.000622,4.72E-05,0.105,0.375,94.968,235120,968198,61187,1,194414043
0.794,0.469,4,-8.45,0.403,0.22,0,0.0979,0.348,119.942,201480,70049,1329,0,6960752
0.797,0.533,0,-9.74,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4721889,236448,1,384167759
0.534,0.688,8,-8.236,0.0328,0.00172,0.015,0.0908,0.173,93,203733,18693,960,0,1908182
0.689,0.791,0,-5.194,0.053,0.023,0,0.0526,0.755,95.04,210573,2663257,153608,1,455644192
0.804,0.443,6,-10.268,0.134,0.0312,0.0225,0.112,0.58,92.035,203027,175982,6595,0,16732132
0.933,0.699,2,-8,0.177,0.197,4.48E-05,0.0617,0.798,128.036,135017,156317,1799,0,11142962
0.613,0.296,10,-7.571,0.0309,0.94,1.34E-06,0.109,0.46,99.934,251267,19411,1644,0,3910342
0.832,0.74,0,-4.862,0.214,0.101,0,0.339,0.714,90.045,238565,568350,1929,0,60284270
0.476,0.718,5,-7.227,0.149,0.263,0.00261,0.109,0.361,183.932,230027,415901,9074,0,59602877
0.789,0.71,10,-6.323,0.131,0.0555,0.843,0.0601,0.6,111.038,183787,15311,306,0,1169418
0.669,0.386,2,-14.641,0.0524,0.398,0.000257,0.267,0.604,87.704,76693,2225,0,0,2101693
0.578,0.893,4,-7.023,0.0915,0.54,3.43E-05,0.103,0.264,124.723,222713,170359,6104,0,12588688
0.457,0.763,5,-6.985,0.0832,0.116,0,0.188,0.119,90.259,219334,534997,8433,0,54668895
